questions,answers
what character did natalie portman play in star wars?,Padmé Amidala
what state does selena gomez?,New York City
what country is the grand bahama island in?,Bahamas
what character did john noble play in lord of the rings?,Denethor II
who does joakim noah play for?,Chicago Bulls
where are the nfl redskins from?,Washington Redskins
where did saki live?,United Kingdom
what two countries invaded poland in the beginning of ww2?,Germany
what time zone am i in cleveland ohio?,North American Eastern Time Zone
who did draco malloy end up marrying?,Astoria Greengrass
which countries border the us?,Canada
what is nina dobrev nationality?,Bulgaria
what country does iceland belong to?,Iceland
which kennedy died first?,John F. Kennedy
what books did beverly cleary right?,"Ramona's World, Ramona Quimby, Age 8, Ralph S. Mouse, Runaway Ralph, Ribsy, Sister of the Bride, Ellen Tebbits, Dear Mr. Henshaw, The Mouse and the Motorcycle, Beezus and Ramona"
who is the prime minister of ethiopia?,Hailemariam Desalegn
what to see near sedona arizona?,"Sedona Airport, Red Rock State Park, Seven Canyons, Honanki, Cathedral Rock, Chapel of the Holy Cross, Sycamore Canyon, Oak Creek Canyon, Slide Rock State Park, Bell Rock"
what high school did president bill clinton attend?,Hot Springs High School
what movies does taylor lautner play in?,"Abduction, Eclipse, Valentine's Day, The Twilight Saga: Breaking Dawn - Part 1, New Moon"
what year lebron james came to the nba?,2003–04 NBA season
what did the german revolution lead to?,German Democratic Republic
how much did adriana lima gain during pregnancy?,Spike Guys' Choice Awards
which wife did king henry behead?,Anne of the Thousand Days
who was ishmael's mom?,Hagar
what was malcolm x trying to accomplish?,"African Americans' rights, Black Liberation"
where are the netherlands on a world map?,Kingdom of the Netherlands
what are the major cities in france?,Paris
what city did esther live in?,Susa
what sport do the toronto maple leafs play?,Ice Hockey
what is saint nicholas known for?,Grand Duke Alexander Alexandrovich of Russia
what is martin cooper doing now?,Inventor
what party was andrew jackson?,"Democratic-Republican Party, Democratic Party, Jacksonian Democratic Party"
what is medicare a?,Centers for Medicare and Medicaid Services
what is the name of the first harry potter novel?,Harry Potter and the Philosopher's Stone
what did william shakespeare do for a living?,"Poet, Playwright, Dramatist, Lyricist, Author"
what county is heathrow airport in?,London
where did dmitri mendeleev study science?,"Saint Petersburg State University, Ruprecht Karl University of Heidelberg"
what is there to do in laredo tx?,"Veterans Field, San Augustin de Laredo Historic District, Laredo Energy Arena, Lake Casa Blanca, Texas A&M International University Soccer Complex, Fort McIntosh, Southern Careers Institute, Laredo Campus, Texas A&M International University, Webb County Courthouse, Nye"
what season did tony soprano get shot?,The Sopranos
where do the san francisco giants play home games?,AT&T Park
what year did william jennings bryan run for president?,"1900 Democratic National Convention, 1908 Democratic National Convention, 1896 Democratic National Convention"
who was queen victoria's parents called?,"Prince Edward, Duke of Kent and Strathearn, Princess Victoria of Saxe-Coburg-Saalfeld"
what movies did sally field win an oscar for?,"Places in the Heart, Sybil, Norma Rae, A Woman Of Independent Means, A Cooler Climate, Brothers & Sisters, ER"
what is the first book sherlock holmes appeared in?,A Study in Scarlet
what type of car does michael weston drive?,Wishcraft
where to exchange euros in pittsburgh?,Allegheny County
what are the names of walt disney kids?,"Diane Disney Miller, Sharon Mae Disney"
who is in the band bush?,"Dave Parsons, Gavin Rossdale, Sacha Putnam, Robin Goodridge, Nigel Pulsford, Corey Britz, Chris Traynor"
what timezone is australia gmt?,UTC+8
who does maggie grace play in taken?,Kim
what style of music did louis armstrong play?,Jazz
when is summer in australia sydney?,City of Sydney
what timezone is denver co?,"Mountain Time Zone, UTC−07:00"
what character did brian austin green play on 90210?,David Silver
where does jackie french live?,Australia
what form of government was practiced in sparta?,"Monarchy, Diarchy"
who was peter parker's first girlfriend?,Marvel Comics
what college did matt lauer attend?,Ohio University
